"운행일자","정산사업자","정류장아이디","정류장명","읍면동코드(법정동)","읍면동명(법정동)","모바일아이디"
"2025-06-13","이동의즐거움","4241737","대룡중학교","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4241738","대원사","5111012600","칠전동","정보없음"
"2025-06-13","이동의즐거움","4241741","덕두원1리","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241742","덕두원1리1반","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241743","버덩마을","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241744","봉덕사입구","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241745","봉덕사입구","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241747","명월리","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241752","명월촌","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241753","양지말","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241756","상명월리","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241762","수레너미","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241766","덕두원3리","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241767","도민일보","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241768","도민일보","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241769","동광주유소","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241770","동내면행복센터","5111039022","동내면","정보없음"
"2025-06-13","이동의즐거움","4241771","동내면행복센터","5111039022","동내면","정보없음"
"2025-06-13","이동의즐거움","4241774","동면행정복지센터","5111031021","동면","정보없음"
"2025-06-13","이동의즐거움","4241775","동면행정복지센터","5111031021","동면","정보없음"
"2025-06-13","이동의즐거움","4241776","노루목저수지","5111031023","동면","정보없음"
"2025-06-13","이동의즐거움","4241777","노루목저수지","5111031023","동면","정보없음"
"2025-06-13","이동의즐거움","4241785","조양3리종점","5111032021","동산면","정보없음"
"2025-06-13","이동의즐거움","4241789","정법사","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241790","정부합동청사","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241791","정부합동청사","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241793","사천왕사","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241796","정족2리","5111033025","신동면","정보없음"
"2025-06-13","이동의즐거움","4241800","조각공원","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241802","신세계주유소","5111032021","동산면","정보없음"
"2025-06-13","이동의즐거움","4241803","조양4리","5111032021","동산면","정보없음"
"2025-06-13","이동의즐거움","4241817","조양4리","5111032021","동산면","정보없음"
"2025-06-13","이동의즐거움","4241821","동산면행복센터","5111032021","동산면","정보없음"
"2025-06-13","이동의즐거움","4241822","동산면행복센터","5111032021","동산면","정보없음"
"2025-06-13","이동의즐거움","4241833","송암리(은재된장)","5111036029","사북면","정보없음"
"2025-06-13","이동의즐거움","4241835","송암리마을회관","5111036029","사북면","1214"
"2025-06-13","이동의즐거움","4241867","지암리(물레방아민박)","5111036026","사북면","정보없음"
"2025-06-13","이동의즐거움","4241872","대추나무골","5111036023","사북면","정보없음"
"2025-06-13","이동의즐거움","4241873","새술막","5111032023","동산면","정보없음"
"2025-06-13","이동의즐거움","4241874","송암리","5111036027","사북면","정보없음"
"2025-06-13","이동의즐거움","4241877","고성2리(초설)","5111036028","사북면","정보없음"
"2025-06-13","이동의즐거움","4241879","옥광산","5111031025","동면","정보없음"
"2025-06-13","이동의즐거움","4241880","(구)싸이클경기장","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241882","삼악산","5111035028","서면","정보없음"
"2025-06-13","이동의즐거움","4241883","신매1리","5111035024","서면","정보없음"
"2025-06-13","이동의즐거움","4241884","월송2리","5111035026","서면","정보없음"
"2025-06-13","이동의즐거움","4241886","방동2리입구(보건소)","5111035027","서면","1178"
