조사 순번,정류장 번호,관리번호,정류장명(카카오맵 표시명),정류장명(영어),경도,위도,현행 확인 출처,카카오맵 표시 방면,공식 노선순서 기반 진행방면,카카오맵 정류장 검색 URL,카카오 로드뷰 URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
35,5049,257000114,굴지리종점,Gulji-ri Terminus,127.79775,37.70913,TAGO·카카오맵,굴지리종점 방면,굴지리종점 방면,https://map.kakao.com/link/search/%EA%B5%B4%EC%A7%80%EB%A6%AC%EC%A2%85%EC%A0%90%205049%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.70913,127.79775",,,,,,,
36,5574,257001645,굴지리종점,Gulji-ri Terminus,127.79772,37.7089,TAGO·카카오맵,역전평 방면,역전평 방면,https://map.kakao.com/link/search/%EA%B5%B4%EC%A7%80%EB%A6%AC%EC%A2%85%EC%A0%90%205574%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.7089,127.79772",,,,,,,
37,2561,250026834,칠전대우A,Chiljeon Daewoo Apartment,127.71321,37.84487,카카오맵,춘천예비군훈련장 방면,춘천예비군훈련장 방면,https://map.kakao.com/link/search/%EC%B9%A0%EC%A0%84%EB%8C%80%EC%9A%B0A%202561%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.84487,127.71321",,,,,,,
38,1978,250001659,교동초교입구,Gyodong Elementary School Entrance,127.73768,37.87733,TAGO·카카오맵,봉의중학교 방면,봉의중학교 방면,https://map.kakao.com/link/search/%EA%B5%90%EB%8F%99%EC%B4%88%EA%B5%90%EC%9E%85%EA%B5%AC%201978%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87733,127.73768",,,,,,,
39,1307,250001139,방동1리,Bangdong 1(il)-ri,127.68049,37.89588,TAGO·카카오맵,금산3리 방면,금산3리 방면,https://map.kakao.com/link/search/%EB%B0%A9%EB%8F%991%EB%A6%AC%201307%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89588,127.68049",,,,,,,
40,1696,250001798,현지사,Hyeonjisa,127.64548,38.0448,TAGO·카카오맵,지촌2리 방면,지촌2리 방면,https://map.kakao.com/link/search/%ED%98%84%EC%A7%80%EC%82%AC%201696%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.0448,127.64548",,,,,,,
41,2144,250002167,서면행정복지센터,Seo-myeon Community Service Center,127.69374,37.89808,TAGO·카카오맵,시청자미디어센터 방면,시청자미디어센터 방면,https://map.kakao.com/link/search/%EC%84%9C%EB%A9%B4%ED%96%89%EC%A0%95%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0%202144%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89808,127.69374",,,,,,,
42,2145,250002168,서면행정복지센터,Seo-myeon Community Service Center,127.69411,37.89836,TAGO·카카오맵,금산2리 방면,금산2리 방면,https://map.kakao.com/link/search/%EC%84%9C%EB%A9%B4%ED%96%89%EC%A0%95%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0%202145%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89836,127.69411",,,,있음,,,
43,2726,250027001,장본교앞사거리,Jangbongyo Sageori,127.76895,37.95398,TAGO·카카오맵,배후령터널 방면,간척사거리 / 유포2리종점 방면,https://map.kakao.com/link/search/%EC%9E%A5%EB%B3%B8%EA%B5%90%EC%95%9E%EC%82%AC%EA%B1%B0%EB%A6%AC%202726%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.95398,127.76895",,,,,,,
44,2727,250027002,장본교앞사거리,Jangbongyo Sageori,127.76894,37.95409,TAGO·카카오맵,아침못종점 방면,아침못종점 방면,https://map.kakao.com/link/search/%EC%9E%A5%EB%B3%B8%EA%B5%90%EC%95%9E%EC%82%AC%EA%B1%B0%EB%A6%AC%202727%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.95409,127.76894",,,,,,,
