순번,설치 정류장명,위도,경도,정류장 번호,설치 단말기 종류,설치연월,음성사용여부,표출시간,외국어지원여부,데이터기준일자
210,거두리부영A,37.85597,127.75209,1449,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
211,신촌3리,37.84892,127.75825,1688,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
212,춘천경찰서,37.8707,127.72469,1075,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
213,중앙로입구,37.87707,127.72308,1011,LCD(거치형),7430-05-02,사용,05:00 ~ 23:30,사용,2025-11-14
214,양우A,37.86831,127.73052,1665,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
215,수협,37.86973,127.72791,2335,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
216,후평주공4단지,37.87624,127.75696,1024,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
217,청실A,37.87338,127.75837,1406,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
218,춘천역육교앞,37.88563,127.71608,1529,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
219,석사부영A,37.8691,127.75608,2118,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
220,청구/진흥A,37.8691,127.75274,1695,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
221,퇴계주공4차,37.85361,127.74545,1125,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
222,모아엘가A,37.87326,127.72116,1632,LCD(거치형),2022-07-14,사용,05:00 ~ 23:30,사용,2025-11-14
223,소양중학교,37.90513,127.72499,2087,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
224,육림공원,37.91756,127.72119,1559,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
225,여우고개삼거리,37.91915,127.73905,2169,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
226,신북읍행복센터,37.92515,127.74677,2032,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
227,한샘고후문,37.92827,127.75154,1360,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
228,춘천동원학교,37.93026,127.78854,1855,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
229,만천초교,37.88264,127.75862,1836,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
230,스위첸A,37.87955,127.76572,1825,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
