관리번호,정류장명,lat,lng,한낮승차,미확인시설목록,로드뷰URL
257001456,밤나무골,37.68851,127.68816,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.68851,127.68816"
250001229,중부지구대,37.87533,127.73851,356,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87533,127.73851"
250026809,도재활병원삼거리,37.90307,127.73835,344,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.90307,127.73835"
250001022,눈썰매장입구,37.97498,127.59894,20,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97498,127.59894"
250001855,KBS방송국,37.86791,127.72304,290,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86791,127.72304"
250002235,보안사거리,37.87502,127.75271,290,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87502,127.75271"
250001263,향교,37.8817,127.73523,286,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.8817,127.73523"
250001563,도민일보,37.89053,127.74479,284,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.89053,127.74479"
250001564,도민일보,37.89017,127.74313,284,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.89017,127.74313"
250000004,거두리주공A,37.85665,127.75863,260,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85665,127.75863"
250001409,청실A,37.87262,127.7584,252,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87262,127.7584"
250001963,우석초교,37.86465,127.75113,252,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86465,127.75113"
250001534,춘천동원학교,37.93016,127.78875,250,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.93016,127.78875"
250001535,춘천동원학교,37.93031,127.78858,250,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.93031,127.78858"
250001460,발산2리,37.95568,127.76123,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.95568,127.76123"
250001461,발산2리,37.9576,127.76296,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.9576,127.76296"
250001462,발산2리,37.96058,127.76575,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96058,127.76575"
250001463,발산2리,37.96049,127.76568,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96049,127.76568"
250001464,발산2리,37.96167,127.7623,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96167,127.7623"
250001465,발산2리,37.73968,127.63277,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.73968,127.63277"
250001466,발산2리,37.7396,127.63291,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.7396,127.63291"
250026874,발산2리,37.96157,127.76235,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96157,127.76235"
250026875,발산2리,37.95766,127.76284,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.95766,127.76284"
250026876,발산2리,37.95571,127.76111,18,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.95571,127.76111"
250026880,윗샘밭종점,37.93158,127.7914,228,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.93158,127.7914"
250001987,모아엘가A,37.87293,127.72193,220,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87293,127.72193"
265000670,파크자이A,37.86746,127.70852,219,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86746,127.70852"
265000671,파크자이A,37.86806,127.70783,219,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86806,127.70783"
