위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.83186,127.67943,정류장,의암리본마을,강원특별자치도 춘천시 의암리 288-1,1,교통과,2026-06-01
37.74341,127.5721,정류장,의암류인석유적지,강원특별자치도 춘천시 가정리 1102-1,1,교통과,2026-06-01
37.83792,127.67719,정류장,의암댐,강원특별자치도 춘천시 의암리 산85-2,1,교통과,2026-06-01
37.82721,127.6696,정류장,의암교차로,강원특별자치도 춘천시 덕두원리 66-4,1,교통과,2026-06-01
37.8267,127.68273,정류장,의암,강원특별자치도 춘천시 의암리 122-10,1,교통과,2026-06-01
37.86153,127.72053,정류장,열린공원,강원특별자치도 춘천시 온의동 526-5,1,교통과,2026-06-01
37.86195,127.71969,정류장,은행나무공원,강원특별자치도 춘천시 춘주로 96,1,교통과,2026-06-01
37.93048,127.75151,정류장,강원테크노파크,강원특별자치도 춘천시 율문리 944,1,교통과,2026-06-01
37.92584,127.74357,정류장,율문1리,강원특별자치도 춘천시 율문리 556-2,1,교통과,2026-06-01
37.91756,127.72119,정류장,육림공원,강원특별자치도 춘천시 사농동 292-1,1,교통과,2026-06-01
37.87721,127.73044,정류장,육림고개,강원특별자치도 춘천시 운교동 169-25,1,교통과,2026-06-01
37.87717,127.73071,정류장,육림고개,강원특별자치도 춘천시 운교동 168,1,교통과,2026-06-01
37.94913,127.77662,정류장,유포리회관,강원특별자치도 춘천시 유포리 113-7,1,교통과,2026-06-01
37.86189,127.73105,정류장,유승한내들,강원특별자치도 춘천시 퇴계동 1041,1,교통과,2026-06-01
37.86192,127.73137,정류장,유승한내들,강원특별자치도 춘천시 퇴계동 1132,1,교통과,2026-06-01
37.93244,127.79216,정류장,윗샘밭종점,강원특별자치도 춘천시 천전리 212-46,1,교통과,2026-06-01
37.92494,127.721,정류장,위도입구,강원특별자치도 춘천시 사농동 281,1,교통과,2026-06-01
37.93014,127.68734,정류장,월송1리,강원특별자치도 춘천시 월송리 1247,1,교통과,2026-06-01
37.91858,127.80165,정류장,월곡리,강원특별자치도 춘천시 월곡리 산 163,1,교통과,2026-06-01
38.00193,127.6275,정류장,샛강쉼터,강원특별자치도 춘천시 원평리 515-3,1,교통과,2026-06-01
38.00274,127.63334,정류장,원평마을,강원특별자치도 춘천시 원평리 406-20,1,교통과,2026-06-01
37.78081,127.76449,정류장,원창5리,강원특별자치도 춘천시 원창리 753-3,1,교통과,2026-06-01
37.80956,127.77007,정류장,원창4리,강원특별자치도 춘천시 원창리 203-6,1,교통과,2026-06-01
37.78941,127.76418,정류장,원창3리,강원특별자치도 춘천시 원창리 812-3,1,교통과,2026-06-01
37.80338,127.7736,정류장,원창2리,강원특별자치도 춘천시 원창리 111-10,1,교통과,2026-06-01
