위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.87927,127.75044,정류장,신한은행후평동지점,강원특별자치도 춘천시 후평3동 700,1,교통과,2026-06-01
37.87954,127.75001,정류장,충인교회,강원특별자치도 춘천시 후평2동 781,1,교통과,2026-06-01
37.78727,127.6482,정류장,창촌3거리,강원특별자치도 춘천시 창촌리 147-6,1,교통과,2026-06-01
37.78712,127.64813,정류장,창촌3거리,강원특별자치도 춘천시 창촌리 136-3,1,교통과,2026-06-01
37.77607,127.63417,정류장,기와집골,강원특별자치도 춘천시 창촌리 616,1,교통과,2026-06-01
37.8985,127.76794,정류장,장학1리,강원특별자치도 춘천시 장학리 96-6,1,교통과,2026-06-01
37.88563,127.71608,정류장,춘천역육교앞,강원특별자치도 춘천시 근화동 595-4,1,교통과,2026-06-01
37.85834,127.7076,정류장,호반요양병원,강원특별자치도 춘천시 삼천동 산 36-2,1,교통과,2026-06-01
37.88109,127.72659,정류장,인성병원,강원특별자치도 춘천시 소양로3가 179-7,1,교통과,2026-06-01
37.88108,127.72618,정류장,소양로우체국,강원특별자치도 춘천시 소양로3가  180-3,1,교통과,2026-06-01
37.98567,127.65946,정류장,인람종점,강원특별자치도 춘천시 인람리 312-4,1,교통과,2026-06-01
