boarding_stop_id,boarding_stop_names,legal_district_codes,legal_district_names,stop_no,management_id,current_stop_name,longitude,latitude,midday_boardings,match_status,match_method,confidence,source_record_count,boarding_sample_period,mapping_source_dates
4240469,칠전대우A,5111012600,칠전동,2561,250026834,칠전대우A,127.71321,37.84487,516,inferred,tago_route_number_and_adjacent_stop_unique,medium,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240470,칠전동,5111012600,칠전동,,,,,,26,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240471,칠전동고개,5111012600,칠전동,,,,,,26,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240473,크로바A,5111012000,후평동,,,,,,22,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240474,크로바A,5111012000,후평동,,,,,,372,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240478,토우시장,5111012000,후평동,,,,,,56,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240479,토우시장,5111012000,후평동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240480,퇴계금호A,5111012300,퇴계동,,,,,,96,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240482,남부초교,5111012300,퇴계동,1134,250001327,남부초교,127.72749,37.85927,434,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240483,퇴계동입구,5111012300,퇴계동,1133,250001326,퇴계동입구,127.72772,37.85927,142,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240484,퇴계우성A,5111012300,퇴계동,,,,,,312,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240485,퇴계우체국,5111012300,퇴계동,,,,,,494,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240486,퇴계주공1차,5111012300,퇴계동,,,,,,176,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240487,퇴계주공3_4차,5111012400,석사동,,,,,,26,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240488,퇴계주공4차,5111012400,석사동,,,,,,288,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240489,퇴계주공4차,5111012400,석사동,,,,,,152,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240490,퇴계주공6차,5111012300,퇴계동,,,,,,38,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240491,퇴계주공6차,5111012300,퇴계동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240492,현암리,5111035021,서면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240493,퇴계주공6차A,5111012300,퇴계동,,,,,,34,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240494,퇴계주공7단지,5111012300,퇴계동,,,,,,366,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240495,퇴계주공9차,5111012300,퇴계동,,,,,,128,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240496,춘천고용복지센터,5111012400,석사동,2388,250026661,춘천고용복지센터,127.74471,37.85146,428,inferred,unique_stop_name_candidate,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240497,퇴계한주A,5111012300,퇴계동,,,,,,688,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240498,홈플러스,5111012300,퇴계동,2416,250026689,홈플러스,127.73411,37.85085,536,inferred,tago_route_number_and_adjacent_stop_unique,medium,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240500,한진한성,5111012300,퇴계동,,,,,,358,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240501,퇴계현대1차,5111012300,퇴계동,,,,,,376,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240502,퇴계현대1차,5111012300,퇴계동,,,,,,520,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
