정류장 번호,관리번호,정류장명,정류장명(영어),경도,위도,데이터기준일
1135,250001328,퇴계농공단지입구,Toegye Agro Industrial Complex Entrance,127.7327,37.84736,2026-03-26
1136,265000696,퇴계농공단지입구,Toegye Agro Industrial Complex Entrance,127.73173,37.84573,2026-03-26
1137,250001330,퇴계금호A,Toegye Kumho Apartment,127.73891,37.84908,2026-03-26
1138,250001331,토우시장,Tou Market,127.74742,37.88437,2026-03-26
1139,250001332,토우시장,Tou Market,127.74774,37.88308,2026-03-26
1140,250001333,태봉,Taebong,127.68525,37.88758,2026-03-26
1141,250001334,탑말,Topmal,127.69988,37.94639,2026-03-26
1142,250001335,탑말,Topmal,127.69976,37.94629,2026-03-26
1143,250001336,크로바A,Clover Apartment,127.74411,37.88048,2026-03-26
1144,250001337,크로바A,Clover Apartment,127.74504,37.88068,2026-03-26
1145,250001338,칠전동고개,Chiljeondong Pass,127.71363,37.83625,2026-03-26
1146,250001339,칠전동고개,Chiljeondong Pass,127.71411,37.83656,2026-03-26
1147,250001340,칠전동,Chiljeon-dong,127.71413,37.84246,2026-03-26
1148,250001341,칠전동사거리,Chiljeon-dong Sageori,127.7145,37.84141,2026-03-26
1149,250001342,칠전대우A,Chiljeon Daewoo Apartment,127.71171,37.84416,2026-03-26
1150,250001343,칠전대우A,Chiljeon Daewoo Apartment,127.71169,37.84435,2026-03-26
1151,250001344,충렬탑입구,Chungnyeoltap Memorial Tower Entrance,127.73946,37.91615,2026-03-26
1152,250001345,충렬탑입구,Chungnyeoltap Memorial Tower Entrance,127.73921,37.91619,2026-03-26
1153,250001346,강원도농업기술원,Gangwon-do Agricultural R & E.S,127.75428,37.94919,2026-03-26
1154,250027132,강원도농업기술원,Gangwon-do Agricultural R & E.S,127.7542,37.94945,2026-03-26
1155,250001348,춘천초등학교,Chuncheon Elementary School,127.72098,37.87602,2026-03-26
1156,250001349,춘천시보건소,Chuncheon Community Health Center,127.72076,37.87617,2026-03-26
1157,250001350,엘타워/미소지움,L Tower / Miso Zium Apartment,127.71702,37.87405,2026-03-26
1158,250001351,춘천중학교정문,Chuncheon Middle School Main Gate,127.71805,37.874,2026-03-26
1159,250001352,춘천중학교,Chuncheon Middle School,127.71718,37.87484,2026-03-26
1160,250001353,춘천중학교,Chuncheon Middle School,127.7177,37.87521,2026-03-26
1161,250001354,학곡2리,Hakgok 2(i)-ri,127.7588,37.83985,2026-03-26
1162,250001355,학곡2리,Hakgok 2(i)-ri,127.75905,37.84005,2026-03-26
